IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;DataStart;location
17297;Ozono;µg/m³;583;Bergamo v.Meucci;249;BG;Bergamo;24/01/2013;(45.69103740547214, 9.643650579461385)
12020;Ozono;µg/m³;1297;Spinadesco v.Battisti;48;CR;Spinadesco;04/02/2011;(45.150468869856816, 9.930596472272326)
5520;Biossido di Azoto;µg/m³;517;Turbigo vicolo dello sport;141;MI;Turbigo;11/01/1990;(45.52655086994247, 8.736496578379215)
9985;Particelle sospese PM2.5;µg/m³;600;Lodi v.Vignati;80;LO;Lodi;10/07/2006;(45.30601298752377, 9.48526286320174)
10285;Ossidi di Azoto;µg/m³;706;Lecco v.Sora;272;LC;Lecco;28/06/2007;(45.86374884127965, 9.399950344681852)
9856;Ozono;µg/m³;672;Cornale v.Libertà;74;PV;Cornale;29/07/2005;(45.04007657202963, 8.914144599002409)
12641;Benzo(a)pirene;ng/m³;548;Milano v.Senato;118;MI;Milano;10/07/2008;(45.470499014097, 9.197460360112531)
20455;BlackCarbon;µg/m³;501;Milano v.Marche;129;MI;Milano;25/11/2020;(45.49631644365102, 9.190933555313624)
20528;Particelle sospese PM2.5;µg/m³;708;Parona v. della Miseria;112;PV;Parona;01/06/2021;(45.281935610357905, 8.754334594539825)
6400;Ossidi di Azoto;µg/m³;560;Varese v.Copelli;383;VA;Varese;07/08/2003;(45.816973233263674, 8.820240707158211)
12600;Benzo(a)pirene;ng/m³;609;Casirate d'Adda v. Cimitero;108;BG;Casirate d'Adda;24/04/2008;(45.49822713394494, 9.556232262351761)
6919;PM10 (SM2005);µg/m³;561;Como v.Cattaneo;202;CO;Como;04/01/2000;(45.81504286011291, 9.06697137484454)
6917;PM10 (SM2005);µg/m³;558;Busto Arsizio  Accam;206;VA;Busto Arsizio;20/01/1999;(45.582894292717725, 8.842165456706075)
10282;Ozono;µg/m³;705;Milano Pascal Città Studi;122;MI;Milano;16/06/2007;(45.47899606168744, 9.235491038497502)
6831;Ossidi di Azoto;µg/m³;657;Lonato del Garda v.del Marchesino;180;BS;Lonato del Garda;01/01/1990;(45.463753136210265, 10.480772043571283)
6962;PM10 (SM2005);µg/m³;595;Filago v.Don Milani;190;BG;Filago;14/10/2004;(45.63386450908066, 9.556084255790864)
5826;Monossido di Carbonio;mg/m³;546;Magenta v. F. Turati;137;MI;Magenta;22/04/1995;(45.462415791106615, 8.880210433125571)
5693;Biossido di Zolfo;µg/m³;600;Lodi v.Vignati;80;LO;Lodi;30/12/1999;(45.30601298752377, 9.48526286320174)
6326;Ossidi di Azoto;µg/m³;546;Magenta v. F. Turati;137;MI;Magenta;22/04/1995;(45.462415791106615, 8.880210433125571)
10449;Particelle sospese PM2.5;µg/m³;560;Varese v.Copelli;383;VA;Varese;01/09/2009;(45.816973233263674, 8.820240707158211)
5698;Biossido di Zolfo;µg/m³;604;Tavazzano con Villavesco v.Cascina Bagnolo;85;LO;Tavazzano con Villavesco;13/01/2000;(45.33036100181227, 9.414644726627262)
6346;Ossidi di Azoto;µg/m³;514;Rho via Buon Gesù;152;MI;Rho;03/10/1991;(45.523425662003476, 9.044599871111005)
5704;Biossido di Zolfo;µg/m³;569;Sondrio v.Mazzini;307;SO;Sondrio;01/11/1993;(46.16796681227828, 9.87014407497457)
9855;Ossidi di Azoto;µg/m³;672;Cornale v.Libertà;74;PV;Cornale;29/07/2005;(45.04007657202963, 8.914144599002409)
5814;Monossido di Carbonio;mg/m³;551;Arconate v. De Gasperi;182;MI;Arconate;20/01/1999;(45.54851735741946, 8.847321929216262)
6690;Ossidi di Azoto;µg/m³;642;Pavia v. Folperti;77;PV;Pavia;01/06/2002;(45.19467609907785, 9.164638300630086)
9971;Monossido di Carbonio;mg/m³;679;Valmadrera v.Pozzi;247;LC;Valmadrera;16/02/2006;(45.842207261022544, 9.351658166127958)
10454;Ozono;µg/m³;1265;Lodi S.Alberto;76;LO;Lodi;03/08/2009;(45.302783503095775, 9.495273696926324)
10070;Biossido di Zolfo;µg/m³;693;Sannazzaro de' Burgondi v.Traversi;85;PV;Sannazzaro de' Burgondi;01/01/2007;(45.10276627684137, 8.90417452771467)
5563;Biossido di Azoto;µg/m³;560;Varese v.Copelli;383;VA;Varese;07/08/2003;(45.816973233263674, 8.820240707158211)
9833;Benzene;µg/m³;664;Mantova p.zza Gramsci;18;MN;Mantova;16/05/2005;(45.151743379576594, 10.78140770009565)
12028;PM10 (SM2005);µg/m³;642;Pavia v. Folperti;77;PV;Pavia;04/02/2011;(45.19467609907785, 9.164638300630086)
20492;Particelle sospese PM2.5;µg/m³;1800;Brescia S.Polo;124;BS;Brescia;;(45.5086667998462, 10.256370247433845)
5646;Biossido di Zolfo;µg/m³;517;Turbigo vicolo dello sport;141;MI;Turbigo;08/03/1982;(45.52655086994247, 8.736496578379215)
6411;Monossido di Carbonio;mg/m³;627;Cremona P.zza Cadorna;39;CR;Cremona;12/12/1997;(45.13194691285173, 10.015741513336042)
5545;Biossido di Azoto;µg/m³;542;Meda v. Gagarin;222;MB;Meda;01/11/1995;(45.66176219189168, 9.156643984551597)
12665;Benzo(a)pirene;ng/m³;681;Moggio Loc. Penscei;1194;LC;Moggio;15/06/2008;(45.91278752030292, 9.497538167653424)
20490;Monossido di Azoto;µg/m³;1800;Brescia S.Polo;124;BS;Brescia;;(45.5086667998462, 10.256370247433845)
10278;Ossidi di Azoto;µg/m³;705;Milano Pascal Città Studi;122;MI;Milano;16/06/2007;(45.47899606168744, 9.235491038497502)
6952;PM10 (SM2005);µg/m³;654;Sarezzo v.Minelli;269;BS;Sarezzo;23/06/2000;(45.64962671224069, 10.205090218837002)
5707;Ozono;µg/m³;551;Arconate v. De Gasperi;182;MI;Arconate;20/01/1999;(45.54851735741946, 8.847321929216262)
10002;Monossido di Carbonio;mg/m³;683;Cassano d'Adda 2-v.Milano;133;MI;Cassano d'Adda;22/04/2006;(45.52647254585104, 9.515980483627096)
6879;Monossido di Carbonio;mg/m³;664;Mantova p.zza Gramsci;18;MN;Mantova;11/06/2004;(45.151743379576594, 10.78140770009565)
6366;Ossidi di Azoto;µg/m³;528;Milano Verziere;116;MI;Milano;24/11/1988;(45.463346740666545, 9.195324807668857)
6248;Ossidi di Azoto;µg/m³;574;Lecco v. Amendola;214;LC;Lecco;01/01/1991;(45.850191194578535, 9.395577066893223)
5532;Biossido di Azoto;µg/m³;529;Cinisello Balsamo v.Lincoln;149;MI;Cinisello Balsamo;24/11/1988;(45.55232578741208, 9.227764233272634)
10129;Ossidi di Azoto;µg/m³;700;Melara v. dell'Artigianato;12;RO;Melara;29/11/2006;(45.063214361613305, 11.20921074969938)
12694;Benzo(a)pirene;ng/m³;560;Varese v.Copelli;383;VA;Varese;02/04/2008;(45.816973233263674, 8.820240707158211)
20496;PM10 (SM2005);µg/m³;1801;Brescia v.Tartaglia;151;BS;Brescia;;(45.542647891822845, 10.211205215118259)
6320;Ossidi di Azoto;µg/m³;539;Milano v.Liguria;115;MI;Milano;24/10/1991;(45.443857653564926, 9.167944501742676)
6686;Biossido di Zolfo;µg/m³;642;Pavia v. Folperti;77;PV;Pavia;01/06/2002;(45.19467609907785, 9.164638300630086)
12016;Ossidi di Azoto;µg/m³;1297;Spinadesco v.Battisti;48;CR;Spinadesco;08/02/2011;(45.150468869856816, 9.930596472272326)
10483;PM10 (SM2005);µg/m³;1265;Lodi S.Alberto;76;LO;Lodi;03/08/2009;(45.302783503095775, 9.495273696926324)
30160;Biossido di Azoto;µg/m³;655;Darfo Boario Terme v. De Amicis;221;BS;Darfo Boario Terme;13/12/2013;(45.87460210989037, 10.17735680898138)
5601;Biossido di Azoto;µg/m³;598;San Rocco al Porto v.Matteotti;50;LO;San Rocco al Porto;24/01/2002;(45.081986696978625, 9.70078817718398)
10077;PM10 (SM2005);µg/m³;694;Salionze v. Campagna Rossa;109;VR;Salionze;29/11/2006;(45.40331375821289, 10.72659797077939)
5567;Biossido di Azoto;µg/m³;564;Erba v. Battisti;279;CO;Erba;13/06/2009;(45.808573806922965, 9.221779204488435)
6582;Ozono;µg/m³;561;Como v.Cattaneo;202;CO;Como;17/02/1991;(45.81504286011291, 9.06697137484454)
10491;PM10 (SM2005);µg/m³;681;Moggio Loc. Penscei;1194;LC;Moggio;31/03/2009;(45.91278752030292, 9.497538167653424)
6959;PM10 (SM2005);µg/m³;565;Cantù v.Meucci;369;CO;Cantù;01/01/1999;(45.73083672267427, 9.125734327022926)
5619;Biossido di Zolfo;µg/m³;544;Cormano v. Edison;153;MI;Cormano;26/10/1994;(45.551041944372415, 9.162613653151322)
10131;Biossido di Azoto;µg/m³;700;Melara v. dell'Artigianato;12;RO;Melara;28/11/2006;(45.063214361613305, 11.20921074969938)
20155;PM10 (SM2005);µg/m³;690;Mezzana Bigli loc. Casoni;73;PV;Mezzana Bigli;20/11/2013;(45.069658641385914, 8.86888929943922)
10463;Ozono;µg/m³;1266;Bertonico v.Moro;65;LO;Bertonico;03/08/2009;(45.23349364130374, 9.666250375296032)
10079;Biossido di Azoto;µg/m³;695;Ponti sul Mincio v.San Martino;113;MN;Ponti sul Mincio;20/12/2006;(45.41277169168634, 10.683357343786835)
9976;PM10 (SM2005);µg/m³;679;Valmadrera v.Pozzi;247;LC;Valmadrera;11/02/2006;(45.842207261022544, 9.351658166127958)
9882;Ozono;µg/m³;674;Monza v.Machiavelli;162;MB;Monza;21/10/2005;(45.58026348442243, 9.273573092713274)
5958;Biossido di Azoto;µg/m³;629;Crema v.XI febbraio;79;CR;Crema;01/11/1992;(45.366309078194334, 9.703945513613167)
5610;Biossido di Azoto;µg/m³;607;Abbadia Cerreto v. Fanfulla;64;LO;Abbadia Cerreto;13/01/2000;(45.309502269282255, 9.585790416120414)
6936;PM10 (SM2005);µg/m³;596;Osio Sotto v.per Levate;182;BG;Osio Sotto;24/05/2000;(45.62055567939559, 9.611737821812373)
30165;Ozono;µg/m³;669;Brescia Villaggio Sereno;70;BS;Brescia;13/12/2013;(45.513038818653754, 10.19194188877931)
10280;Biossido di Zolfo;µg/m³;705;Milano Pascal Città Studi;122;MI;Milano;16/06/2007;(45.47899606168744, 9.235491038497502)
9772;Benzene;µg/m³;600;Lodi v.Vignati;80;LO;Lodi;23/04/2005;(45.30601298752377, 9.48526286320174)
10286;Biossido di Azoto;µg/m³;706;Lecco v.Sora;272;LC;Lecco;27/06/2007;(45.86374884127965, 9.399950344681852)
10165;Ossidi di Azoto;µg/m³;703;Schivenoglia v. Malpasso;NULL;MN;Schivenoglia;29/11/2006;(45.016877820755425, 11.07609463264049)
6705;Monossido di Carbonio;mg/m³;643;Pavia p.zza Minerva;77;PV;Pavia;03/03/2002;(45.18632908049483, 9.146666041286784)
5676;Biossido di Zolfo;µg/m³;561;Como v.Cattaneo;202;CO;Como;17/02/1991;(45.81504286011291, 9.06697137484454)
6921;PM10 (SM2005);µg/m³;564;Erba v. Battisti;279;CO;Erba;13/06/2009;(45.808573806922965, 9.221779204488435)
5507;Biossido di Azoto;µg/m³;504;Sesto San Giovanni v. Cesare da Sesto;139;MI;Sesto San Giovanni;18/12/1980;(45.53476576509224, 9.236107923411636)
20427;Biossido di Zolfo;µg/m³;683;Cassano d'Adda 2-v.Milano;133;MI;Cassano d'Adda;20/12/2017;(45.52647254585104, 9.515980483627096)
5603;Biossido di Azoto;µg/m³;600;Lodi v.Vignati;80;LO;Lodi;30/12/1999;(45.30601298752377, 9.48526286320174)
12671;Benzo(a)pirene;ng/m³;703;Schivenoglia v. Malpasso;NULL;MN;Schivenoglia;22/02/2008;(45.016877820755425, 11.07609463264049)
10336;Particolato Totale Sospeso;µg/m³;709;Vigevano v.Valletta;109;PV;Vigevano;07/08/2007;(45.303607869655714, 8.844804609965438)
6276;Ossidi di Azoto;µg/m³;606;San Giuliano Milanese via Milano;97;MI;San Giuliano Milanese;13/01/2000;(45.39619462552717, 9.282700075557845)
6300;Ossidi di Azoto;µg/m³;544;Cormano v. Edison;153;MI;Cormano;24/10/1994;(45.551041944372415, 9.162613653151322)
9984;Particelle sospese PM2.5;µg/m³;669;Brescia Villaggio Sereno;70;BS;Brescia;06/06/2006;(45.513038818653754, 10.19194188877931)
20442;Monossido di Azoto;µg/m³;681;Moggio Loc. Penscei;1194;LC;Moggio;16/03/2007;(45.91278752030292, 9.497538167653424)
9798;Monossido di Carbonio;mg/m³;670;Mantova S.Agnese;22;MN;Mantova;28/12/2004;(45.16056833010576, 10.79556411370788)
