IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;DataStart;lat;lng
9918;Ossidi di Azoto;æg/mü;664;Mantova p.zza Gramsci;18;08/06/2004;45151743379576600,00;1078140770009560,00
20495;Biossido di Azoto;æg/mü;1801;Brescia v.Tartaglia;151;;45542647891822800,00;10211205215118300,00
10072;PM10 (SM2005);æg/mü;693;Sannazzaro de' Burgondi v.Traversi;85;01/01/2007;4510276627684140,00;890417452771467,00
6208;Ossidi di Azoto;æg/mü;595;Filago v.Don Milani;190;06/03/1992;4563386450908070,00;9556084255790860,00
6005;Benzene;æg/mü;627;Cremona P.zza Cadorna;39;16/05/2002;4513194691285170,00;10015741513336000,00
6252;Ossidi di Azoto;æg/mü;576;Merate v. Madonna di Loreto;279;01/01/1991;4569795198970240,00;9406190938686600,00
9925;Ozono;æg/mü;677;Cremona Via Fatebenefratelli;43;08/04/2006;4514254063221690,00;10043836158369400,00
10283;Particelle sospese PM2.5;æg/mü;705;Milano Pascal Citt… Studi;122;29/03/2007;4547899606168740,00;9235491038497500,00
6412;Ossidi di Azoto;æg/mü;627;Cremona P.zza Cadorna;39;01/01/2002;4513194691285170,00;10015741513336000,00
10166;Benzene;æg/mü;703;Schivenoglia v. Malpasso;NULL;29/11/2006;45016877820755400,00;1107609463264050,00
9999;Biossido di Azoto;æg/mü;683;Cassano d'Adda 2-v.Milano;133;17/02/2006;4552647254585100,00;9515980483627100,00
10133;Monossido di Carbonio;mg/mü;700;Melara v. dell'Artigianato;12;28/11/2006;45063214361613300,00;1120921074969940,00
10083;PM10 (SM2005);æg/mü;695;Ponti sul Mincio v.San Martino;113;20/12/2006;4541277169168630,00;10683357343786800,00
5534;Biossido di Azoto;æg/mü;531;Pioltello Limito;114;23/05/1989;4548363035323250,00;9327360033215140,00
10025;Ozono;æg/mü;685;Calusco d'Adda v. Caduti sul Lavoro;273;30/06/2006;4569042907854510,00;9484260927647790,00
5658;Biossido di Zolfo;æg/mü;552;Varese v.Vidoletti;425;23/12/1991;4583690077655550,00;880392612667495,00
5576;Biossido di Azoto;æg/mü;573;Colico v.La Madoneta;229;05/11/1996;461381409051264,00;9384687247651790,00
