denominazione,latitudine,longitudine,provincia
Chieve,45.3414074,9.6175,CR
Cicognolo,45.1656481,10.1956296,CR
Cingia de' Botti,45.086084,10.275025,CR
Corte de' Cortesi con Cignone,45.27145,10.007884,CR
Corte de' Frati,45.21993,10.096343,CR
Credera Rubbiano,45.3042222,9.6572037,CR
Crema,45.361839,9.683226,CR
Cremona,45.1334974,10.026135,CR
Cremosano,45.3956296,9.6393888,CR
Crotta d'Adda,45.1592222,9.8575,CR
Cumignano sul Naviglio,45.3567222,9.8359629,CR
Derovere,45.1109444,10.249074,CR
Dovera,45.3662592,9.5425185,CR
Drizzona,45.1417773,10.3497806,CR
Fiesco,45.3384629,9.7789074,CR
Formigara,45.2221666,9.7686733,CR
Gabbioneta-Binanuova,45.2173703,10.2214259,CR
Gadesco-Pieve Delmona,45.1574877,10.1160812,CR
Genivolta,45.3336111,9.8784629,CR
Gerre de' Caprioli,45.1046947,10.04057,CR
Gombito,45.261317,9.729954,CR
Grontardo,45.2028148,10.1518888,CR
Grumello Cremonese ed Uniti,45.194074,9.8670555,CR
Gussola,45.014074,10.3475185,CR
Isola Dovarese,45.1753333,10.3122037,CR
Izano,45.3570555,9.7512592,CR
Madignano,45.3467407,9.7243888,CR
Malagnino,45.134818,10.1153093,CR
Martignana di Po,45.012037,10.3809629,CR
Monte Cremasco,45.3756481,9.5725185,CR
Montodine,45.2862777,9.7084629,CR
Moscazzano,45.2932962,9.684537,CR
Motta Baluffi,45.057037,10.2578148,CR
Offanengo,45.3798518,9.7434444,CR
Olmeneta,45.236123,10.021224,CR
Ostiano,45.2217222,10.2531296,CR
Paderno Ponchielli,45.2396012,9.9303312,CR
Palazzo Pignano,45.3911111,9.5706296,CR
Pandino,45.4053645,9.5530187,CR
Persico Dosimo,45.16833,10.07888,CR
Pescarolo ed Uniti,45.1948518,10.1875,CR
Pessina Cremonese,45.1864074,10.2498703,CR
Piadena,45.128247,10.37016,CR
Pianengo,45.4031296,9.6959629,CR
Pieranica,45.4256445,9.6075077,CR
Pieve d'Olmi,45.0893481,10.1242176,CR
Pieve San Giacomo,45.1312592,10.1873518,CR
Pizzighettone,45.19,9.7909444,CR
Pozzaglio ed Uniti,45.2012592,10.0517407,CR
Quintano,45.419826,9.6156913,CR
Ricengo,45.4067407,9.725,CR
Ripalta Arpina,45.3022686,9.7291447,CR
Ripalta Cremasca,45.3334446,9.6932671,CR
Ripalta Guerina,45.3061419,9.7050368,CR
Rivarolo del Re ed Uniti,45.0289074,10.4709629,CR
Rivolta d'Adda,45.4712777,9.5125,CR
Robecco d'Oglio,45.2603148,10.0776666,CR
Romanengo,45.3784629,9.7828333,CR
Salvirola,45.3547822,9.7807,CR
San Bassano,45.2434629,9.8081481,CR
San Daniele Po,45.06411,10.18071,CR
San Giovanni in Croce,45.0786754,10.3752428,CR
San Martino del Lago,45.0715744,10.3145027,CR
Scandolara Ravara,45.0512513,10.3026092,CR
Scandolara Ripa d'Oglio,45.221541,10.160515,CR
Sergnano,45.4298518,9.7028333,CR
Sesto ed Uniti,45.1775185,9.9151666,CR
Solarolo Rainerio,45.0825,10.3573518,CR
Soncino,45.4011111,9.8709629,CR
Soresina,45.2875185,9.8581481,CR
Sospiro,45.109537,10.1587592,CR
Spinadesco,45.1501666,9.9275185,CR
Spineda,45.0611111,10.5159444,CR
Spino d'Adda,45.3998518,9.4934629,CR
Stagno Lombardo,45.0742222,10.089074,CR
Ticengo,45.3703849,9.8282678,CR
Torlino Vimercati,45.4184444,9.5959629,CR
Tornata,45.1038624,10.4304996,CR
Torre de' Picenardi,45.143287,10.286593,CR
Torricella del Pizzo,45.0200185,10.297037,CR
Trescore Cremasco,45.4025,9.6261111,CR
Trigolo,45.3309444,9.8159444,CR
Vaiano Cremasco,45.3738667,9.5903982,CR
Vailate,45.46418,9.6053888,CR
Vescovato,45.1761111,10.1656296,CR
Volongo,45.2128148,10.3025185,CR
Voltido,45.1110872,10.3339716,CR
Abbadia Lariana,45.9005094,9.334459,LC
Airuno,45.7548518,9.4253148,LC
Annone di Brianza,45.8039259,9.331574,LC
Ballabio,45.8992398,9.4245225,LC
Barzago,45.7564074,9.3153148,LC
Barzanò,45.7348964,9.3162542,LC
Barzio,45.9445555,9.4681481,LC
Bellano,46.041527,9.303487,LC
Bosisio Parini,45.8020242,9.2887953,LC
Brivio,45.742866,9.443728,LC
Bulciago,45.751574,9.2864074,LC
Calco,45.7251666,9.4137777,LC
Calolziocorte,45.8009926,9.4324541,LC
Carenno,45.801971,9.4604867,LC
Casargo,46.0375185,9.3864074,LC
Casatenovo,45.6970616,9.3122719,LC
Cassago Brianza,45.739074,9.294537,LC
Cassina Valsassina,45.9331481,9.48,LC
Castello di Brianza,45.7594775,9.3447678,LC
Cernusco Lombardone,45.6918888,9.4003148,LC
Cesana Brianza,45.8192585,9.3014841,LC
Civate,45.827436,9.3422086,LC
Colico,46.135636,9.371293,LC
Colle Brianza,45.7634813,9.3654777,LC
Cortenova,46.0014272,9.3850256,LC
Costa Masnaga,45.767554,9.2784969,LC
Crandola Valsassina,46.0225866,9.3788309,LC
Cremella,45.739537,9.3017222,LC
Cremeno,45.9388258,9.4731833,LC
Dervio,46.0770529,9.3057865,LC
Dolzago,45.7679814,9.3404814,LC
Dorio,46.102739,9.319301,LC
Ello,45.7867407,9.3664074,LC
Erve,45.8223481,9.4533382,LC
Esino Lario,45.995341,9.33595,LC
Galbiate,45.8174552,9.3753524,LC
Garbagnate Monastero,45.7743888,9.3025,LC
Garlate,45.8131481,9.4007962,LC
Imbersago,45.7068888,9.4456481,LC
Introbio,45.973751,9.450344,LC
Introzzo,46.0820921,9.3412835,LC
Lecco,45.8529825,9.3900705,LC
Lierna,45.9604814,9.3067222,LC
Lomagna,45.67049,9.375202,LC
Malgrate,45.8487777,9.3781296,LC
Mandello del Lario,45.9175947,9.3200169,LC
Margno,46.0320555,9.3828333,LC
Merate,45.6988997,9.4141219,LC
Missaglia,45.707244,9.337596,LC
Moggio,45.932561,9.485362,LC
Molteno,45.778262,9.306743,LC
Monte Marenzo,45.7717222,9.4557962,LC
Montevecchia,45.705329,9.3804235,LC
Monticello Brianza,45.7104814,9.3167222,LC
Morterone,45.873902,9.4826785,LC
Nibionno,45.7469276,9.2697677,LC
Oggiono,45.7900235,9.3454021,LC
Olgiate Molgora,45.7284055,9.4009295,LC
Olginate,45.794057,9.413805,LC
Oliveto Lario,45.9307104,9.2848549,LC
Osnago,45.6843308,9.3952344,LC
Paderno d'Adda,45.6809629,9.4462592,LC
Pagnona,46.0606296,9.4039259,LC
Parlasco,46.01873,9.3455704,LC
Pasturo,45.952227,9.4449835,LC
Perego,45.7386111,9.364074,LC
Perledo,46.0173703,9.2942222,LC
Pescate,45.83425,9.3939396,LC
Premana,46.0529636,9.4208688,LC
Primaluna,45.9848703,9.4387592,LC
Robbiate,45.6925185,9.4379814,LC
Rogeno,45.7834629,9.2751666,LC
Rovagnate,45.737448,9.371573,LC
Santa Maria Hoè,45.7453333,9.3756481,LC
Sirone,45.772382,9.321361,LC
Sirtori,45.7375,9.3320555,LC
Sueglio,46.0867222,9.3348518,LC
Suello,45.818858,9.309598,LC
Taceno,46.025275,9.3641371,LC
Torre de' Busi,45.775,9.4814259,LC
Tremenico,46.0775185,9.3673703,LC
Valgreghentino,45.7803826,9.414435,LC
Valmadrera,45.8480239,9.3584732,LC
Varenna,46.0099677,9.2836902,LC
Vendrogno,46.0347267,9.3287835,LC
Vercurago,45.8114074,9.4253333,LC
Verderio Inferiore,45.6629591,9.4356829,LC
Verderio Superiore,45.6687592,9.4414074,LC
Vestreno,46.0842187,9.3259855,LC
Viganò,45.7256296,9.3261111,LC
Abbadia Cerreto,45.3127903,9.5954953,LO
Bertonico,45.234074,9.6692407,LO
Boffalora d'Adda,45.3607962,9.4953333,LO
Borghetto Lodigiano,45.2157962,9.5003148,LO
Borgo San Giovanni,45.2789147,9.4359767,LO
Brembio,45.2145514,9.5728126,LO
Camairago,45.2062592,9.7286111,LO
Casaletto Lodigiano,45.30763,9.361661,LO
Casalmaiocco,45.3548518,9.3754814,LO
Casalpusterlengo,45.1778148,9.6501666,LO
Caselle Landi,45.1022472,9.7929691,LO
Caselle Lurani,45.281574,9.3606481,LO
Castelnuovo Bocca d'Adda,45.1118888,9.8648703,LO
Castiglione d'Adda,45.2198518,9.6953333,LO
Castiraga Vidardo,45.2582962,9.4056296,LO
Cavacurta,45.1907962,9.7429814,LO
Cavenago d'Adda,45.2854814,9.6022037,LO
Cervignano d'Adda,45.373125,9.425003,LO
Codogno,45.1628148,9.7032962,LO
Comazzo,45.4420555,9.4657962,LO
Cornegliano Laudense,45.2838677,9.4701418,LO
Corno Giovine,45.1345555,9.7607962,LO
Cornovecchio,45.1376666,9.8004814,LO
Corte Palasio,45.3099794,9.5643863,LO
Crespiatica,45.3574915,9.5759105,LO
Fombio,45.137501,9.684828,LO
Galgagnano,45.3589074,9.4464074,LO
Graffignana,45.20928,9.453901,LO
Guardamiglio,45.1086111,9.6825185,LO
Livraga,45.1932962,9.5475,LO
Lodi,45.3128778,9.4978501,LO
Lodi Vecchio,45.3034629,9.4187777,LO
Maccastorna,45.1464491,9.8544058,LO
Mairago,45.2528333,9.5795555,LO
Maleo,45.1684444,9.7625,LO
Marudo,45.2525146,9.3770069,LO
Massalengo,45.2659584,9.4912337,LO
Meleti,45.1190351,9.8366436,LO
Merlino,45.4343888,9.4309444,LO
Montanaso Lombardo,45.3367222,9.4698703,LO
Mulazzano,45.3734629,9.3987592,LO
Orio Litta,45.1609629,9.5556296,LO
Ospedaletto Lodigiano,45.1698703,9.5798703,LO
Ossago Lodigiano,45.2467407,9.5381296,LO
Pieve Fissiraga,45.2642091,9.4595433,LO
Salerano sul Lambro,45.294269,9.383782,LO
San Fiorano,45.1373518,9.7232962,LO
San Martino in Strada,45.2759444,9.5275185,LO
San Rocco al Porto,45.0829814,9.6982962,LO
Sant'Angelo Lodigiano,45.2392046,9.4096447,LO
Santo Stefano Lodigiano,45.1194744,9.7364505,LO
Secugnago,45.231617,9.593553,LO
Senna Lodigiana,45.1526666,9.5950185,LO
Somaglia,45.146671,9.637324,LO
Sordio,45.3431296,9.3650185,LO
Tavazzano con Villavesco,45.3282962,9.4075185,LO
Terranova dei Passerini,45.215464,9.6611143,LO
Turano Lodigiano,45.2498341,9.6229652,LO
Valera Fratta,45.2576604,9.3369466,LO
Villanova del Sillaro,45.2376966,9.4810457,LO
Zelo Buon Persico,45.412063,9.432448,LO
Acquanegra sul Chiese,45.1634444,10.4357962,MN
Asola,45.222037,10.4147037,MN
Bagnolo San Vito,45.08934,10.876407,MN
Bigarello,45.2036111,10.9261111,MN
Borgoforte,45.0523703,10.7503148,MN
Borgofranco sul Po,45.0489978,11.204749,MN
Bozzolo,45.1034444,10.485,MN
Canneto sull'Oglio,45.1537777,10.3820555,MN
Carbonara di Po,45.036369,11.227849,MN
Casalmoro,45.2606481,10.4056481,MN
Casaloldo,45.2557962,10.4754814,MN
Casalromano,45.2000514,10.3684067,MN
Castel d'Ario,45.1889074,10.9756481,MN
Castel Goffredo,45.297461,10.47862,MN
Castelbelforte,45.2131481,10.8936111,MN
Castellucchio,45.152854,10.650922,MN
Castiglione delle Stiviere,45.3901502,10.4882653,MN
Cavriana,45.3489784,10.598837,MN
Ceresara,45.2632962,10.5706296,MN
Commessaggio,45.0389259,10.544537,MN
Curtatone,45.1333941,10.7207982,MN
Dosolo,44.953834,10.6409067,MN
Felonica,44.9800185,11.3548703,MN
Gazoldo degli Ippoliti,45.2012592,10.5804814,MN
Gazzuolo,45.0651666,10.5797037,MN
Goito,45.2559629,10.6731296,MN
Gonzaga,44.9511519,10.8200671,MN
Guidizzolo,45.3217407,10.581574,MN
Magnacavallo,45.006574,11.1822037,MN
Mantova,45.1603653,10.7976976,MN
Marcaria,45.119135,10.5338239,MN
Mariana Mantovana,45.1939626,10.4879542,MN
Marmirolo,45.2203333,10.7572037,MN
Medole,45.3253333,10.5142407,MN
Moglia,44.9381296,10.9145555,MN
Monzambano,45.3876666,10.6931481,MN
Motteggiana,45.0291833,10.7591645,MN
Ostiglia,45.070183,11.13789,MN
Pegognaga,44.9937777,10.8607962,MN
Pieve di Coriano,45.0343914,11.1069391,MN
Piubega,45.2287592,10.5353148,MN
Poggio Rusco,44.9759629,11.1198703,MN
Pomponesco,44.928333,10.592197,MN
Ponti sul Mincio,45.4131481,10.6862777,MN
Porto Mantovano,45.189461,10.7899293,MN
Quingentole,45.04,11.0468888,MN
Quistello,45.006574,10.9834629,MN
Redondesco,45.1673518,10.5134629,MN
Revere,45.0545555,11.1323518,MN
Rivarolo Mantovano,45.0709444,10.4348703,MN
Rodigo,45.2006354,10.6234863,MN
Roncoferraro,45.135128,10.954495,MN
Roverbella,45.266605,10.769113,MN
Sabbioneta,44.9989259,10.489537,MN
San Benedetto Po,45.0392407,10.9325185,MN
San Giacomo delle Segnate,44.9736111,11.0342407,MN
San Giorgio di Mantova,45.1529656,10.8737784,MN
San Giovanni del Dosso,44.9686572,11.0821495,MN
San Martino dall'Argine,45.098451,10.5182788,MN
Schivenoglia,44.9962459,11.0732632,MN
Sermide,45.0054814,11.295,MN
Serravalle a Po,45.0717697,11.0986653,MN
Solferino,45.3701204,10.5661221,MN
Sustinente,45.0709678,11.0192306,MN
Suzzara,44.9915329,10.745667,MN
Viadana,44.9269443,10.5218033,MN
Villa Poma,45.002386,11.115242,MN
Villimpenta,45.1446543,11.0281927,MN
Virgilio,45.1204256,10.7915598,MN
Volta Mantovana,45.322168,10.659353,MN
Abbiategrasso,45.3930345,8.9198249,MI
Albairate,45.4196049,8.9355884,MI
Arconate,45.5395459,8.84794,MI
Arese,45.55017,9.0783808,MI
Arluno,45.5052228,8.9388696,MI
Assago,45.4049213,9.1304128,MI
Baranzate,45.5273901,9.1170112,MI
Bareggio,45.4759528,8.9949011,MI
Basiano,45.5716142,9.4673821,MI
Basiglio,45.349189,9.1644466,MI
Bellinzago Lombardo,45.543745,9.443966,MI
Bernate Ticino,45.478195,8.8182951,MI
Besate,45.3119994,8.9688417,MI
Binasco,45.3363169,9.1017322,MI
Boffalora sopra Ticino,45.468313,8.8311775,MI
Bollate,45.5433435,9.1152557,MI
Bresso,45.5371073,9.1913763,MI
Bubbiano,45.326923,9.0155887,MI
Buccinasco,45.4221054,9.1086138,MI
Buscate,45.5446925,8.8134286,MI
Bussero,45.5383105,9.3727514,MI
Busto Garolfo,45.5455812,8.8834443,MI
Calvignasco,45.3256456,9.0268891,MI
Cambiago,45.5717426,9.4213305,MI
Canegrate,45.5700881,8.9288762,MI
Carpiano,45.3414279,9.2713376,MI
Carugate,45.5505834,9.339651,MI
Casarile,45.3170638,9.1060171,MI
Casorezzo,45.5237967,8.9013751,MI
Cassano d'Adda,45.5260596,9.5167713,MI
Cassina de' Pecchi,45.519764,9.3655309,MI
Cassinetta di Lugagnano,45.4258027,8.9097805,MI
Castano Primo,45.5530952,8.7827559,MI
Cernusco sul Naviglio,45.5266377,9.3323686,MI
Cerro al Lambro,45.3310158,9.3416298,MI
Cerro Maggiore,45.593142,8.9514694,MI
Cesano Boscone,45.4423591,9.0985941,MI
Cesate,45.5953177,9.0778471,MI
Cinisello Balsamo,45.5540211,9.2242535,MI
Cisliano,45.4441423,8.9908376,MI
Cologno Monzese,45.5297405,9.2783441,MI
Colturano,45.380201,9.3361251,MI
Corbetta,45.4660501,8.9201705,MI
Cormano,45.5418971,9.1683782,MI
Cornaredo,45.501538,9.023957,MI
Corsico,45.4292861,9.1098658,MI
Cuggiono,45.5062454,8.8167309,MI
Cusago,45.4472564,9.0341234,MI
Cusano Milanino,45.5506966,9.1814131,MI
Dairago,45.5657951,8.862543,MI
Dresano,45.3749966,9.3573174,MI
Gaggiano,45.4062609,9.0335031,MI
Garbagnate Milanese,45.5758071,9.0780879,MI
Gessate,45.5557712,9.4349877,MI
Gorgonzola,45.530705,9.4057,MI
Grezzago,45.590675,9.494187,MI
Gudo Visconti,45.3738405,9.0015933,MI
Inveruno,45.5156845,8.8537538,MI
Inzago,45.5375957,9.4790234,MI
Lacchiarella,45.3179246,9.1391371,MI
Lainate,45.5705109,9.0288777,MI
Legnano,45.5930977,8.907247,MI
Liscate,45.4814959,9.4091977,MI
Locate di Triulzi,45.357897,9.2252147,MI
Magenta,45.4682315,8.8809736,MI
Magnago,45.5792541,8.8024696,MI
Marcallo con Casone,45.4852353,8.8703596,MI
Masate,45.566624,9.467436,MI
Mediglia,45.3955182,9.3326696,MI
Melegnano,45.3568623,9.3229681,MI
Melzo,45.497765,9.418398,MI
Mesero,45.5010636,8.8577696,MI
Milano,45.4636707,9.1881263,MI
Morimondo,45.3543306,8.9580281,MI
Motta Visconti,45.2872359,8.992686,MI
Nerviano,45.5556175,8.9756581,MI
Nosate,45.5523876,8.7253673,MI
Novate Milanese,45.5317635,9.1407814,MI
Noviglio,45.3582871,9.0533731,MI
Opera,45.3756867,9.2109729,MI
Ossona,45.5066945,8.9014423,MI
Ozzero,45.3655997,8.9238805,MI
Paderno Dugnano,45.5674265,9.1595489,MI
Pantigliate,45.433363,9.352025,MI
Parabiago,45.5567941,8.9462412,MI
Paullo,45.4180065,9.4002298,MI
Pero,45.5089861,9.0866393,MI
Peschiera Borromeo,45.4320247,9.3122956,MI
Pessano con Bornago,45.5515071,9.3869709,MI
Pieve Emanuele,45.3559164,9.2026714,MI
Pioltello,45.504018,9.331134,MI
Pogliano Milanese,45.5364752,8.9894372,MI
Pozzo d'Adda,45.5759162,9.5010574,MI
Pozzuolo Martesana,45.5134753,9.452689,MI
Pregnana Milanese,45.5152098,9.0090962,MI
Rescaldina,45.6157617,8.9500826,MI
Rho,45.5297831,9.0381249,MI
Robecchetto con Induno,45.5327022,8.7648327,MI
Robecco sul Naviglio,45.4359264,8.8874196,MI
Rodano,45.4772328,9.3520401,MI
Rosate,45.3533933,9.0234749,MI
Rozzano,45.387462,9.1514005,MI
San Colombano al Lambro,45.1821072,9.4936171,MI
San Donato Milanese,45.4149275,9.2645213,MI
San Giorgio su Legnano,45.5748593,8.9148345,MI
San Giuliano Milanese,45.398319,9.285199,MI
San Vittore Olona,45.5867859,8.9418352,MI
San Zenone al Lambro,45.3247209,9.3595215,MI
Santo Stefano Ticino,45.4887308,8.9190971,MI
Sedriano,45.487445,8.9695876,MI
Segrate,45.5011454,9.2916939,MI
Senago,45.575416,9.1176409,MI
Sesto San Giovanni,45.5358577,9.2388895,MI
Settala,45.4523978,9.3956083,MI
Settimo Milanese,45.4793256,9.0549089,MI
Solaro,45.6174047,9.0814698,MI
Trezzano Rosa,45.5837679,9.4877891,MI
Trezzano sul Naviglio,45.4183379,9.0707319,MI
Trezzo sull'Adda,45.6070272,9.5213143,MI
Tribiano,45.4124809,9.3796201,MI
Truccazzano,45.4850925,9.4658394,MI
Turbigo,45.530213,8.7398075,MI
Vanzaghello,45.5800178,8.7797688,MI
Vanzago,45.526487,8.9966834,MI
Vaprio d'Adda,45.575955,9.5321501,MI
Vermezzo,45.3948133,8.9807694,MI
Vernate,45.3163479,9.0604222,MI
Vignate,45.495001,9.3746569,MI
Villa Cortese,45.5669587,8.8865638,MI
Vimodrone,45.5134926,9.2852229,MI
Vittuone,45.485081,8.9586469,MI
Vizzolo Predabissi,45.3557507,9.347454,MI
Zelo Surrigone,45.3878548,8.9853044,MI
Zibido San Giacomo,45.360181,9.1068999,MI
Agrate Brianza,45.5755478,9.351072,MB
Aicurzio,45.6413289,9.4161645,MB
Albiate,45.657385,9.2527452,MB
Arcore,45.6269398,9.3265163,MB
Barlassina,45.6565615,9.1298828,MB
Bellusco,45.6161623,9.4232643,MB
Bernareggio,45.6444816,9.4034081,MB
Besana in Brianza,45.7003042,9.2922411,MB
Biassono,45.630963,9.2753024,MB
Bovisio-Masciago,45.6106468,9.1476559,MB
Briosco,45.7091544,9.2397104,MB
Brugherio,45.5527422,9.301822,MB
Burago di Molgora,45.5963667,9.378351,MB
Busnago,45.6165417,9.4645648,MB
Camparada,45.6542446,9.3228228,MB
Caponago,45.565801,9.375702,MB
Carate Brianza,45.6759513,9.2429865,MB
Carnate,45.6507624,9.379103,MB
Cavenago di Brianza,45.5809965,9.4136515,MB
Ceriano Laghetto,45.6272069,9.0808576,MB
Cesano Maderno,45.628255,9.1464259,MB
Cogliate,45.644515,9.0820367,MB
Concorezzo,45.5905174,9.3366411,MB
Cornate d'Adda,45.6499134,9.4623632,MB
Correzzana,45.6659393,9.3033229,MB
Desio,45.6216326,9.2087527,MB
Giussano,45.6997614,9.2093782,MB
Lazzate,45.67201,9.085848,MB
Lentate sul Seveso,45.6783852,9.1218297,MB
Lesmo,45.6500034,9.3066282,MB
Limbiate,45.6000313,9.1220146,MB
Lissone,45.6108915,9.2385715,MB
Macherio,45.63852,9.2656272,MB
Meda,45.6599649,9.1544583,MB
Mezzago,45.6305303,9.4438497,MB
Misinto,45.6628573,9.0822784,MB
Monza,45.5840057,9.2730143,MB
Muggiò,45.5929507,9.2265162,MB
Nova Milanese,45.5892407,9.2003496,MB
Ornago,45.5965913,9.4195663,MB
Renate,45.7264493,9.2822301,MB
Roncello,45.6024061,9.4574781,MB
Ronco Briantino,45.6666016,9.4039105,MB
Seregno,45.6510895,9.2048414,MB
Seveso,45.6435957,9.1376246,MB
Sovico,45.6449061,9.2607913,MB
Sulbiate,45.6332566,9.4184494,MB
Triuggio,45.661777,9.2685012,MB
Usmate Velate,45.6508404,9.362482,MB
Varedo,45.597852,9.16043,MB
Vedano al Lambro,45.6070292,9.2683696,MB
Veduggio con Colzano,45.7349259,9.2733493,MB
Verano Brianza,45.685355,9.229899,MB
Villasanta,45.6055555,9.3033668,MB
Vimercate,45.614008,9.3712627,MB
Alagna,45.169343,8.890177,PV
Albaredo Arnaboldi,45.1070506,9.2428207,PV
Albonese,45.2933919,8.7080477,PV
Albuzzano,45.186348,9.274096,PV
Arena Po,45.0976666,9.3636111,PV
Badia Pavese,45.1218888,9.4698703,PV
Bagnaria,44.8276092,9.1233105,PV
Barbianello,45.0771979,9.2057926,PV
Bascapè,45.30789,9.31248,PV
Bastida de' Dossi,45.0404014,8.9217099,PV
Bastida Pancarana,45.086185,9.082372,PV
Battuda,45.2749261,9.07786,PV
Belgioioso,45.1595356,9.3148158,PV
Bereguardo,45.2581481,9.0284444,PV
Borgarello,45.240549,9.142339,PV
Borgo Priolo,44.9674447,9.1490201,PV
Borgo San Siro,45.2359225,8.9146752,PV
Borgoratto Mormorolo,44.9317407,9.1943888,PV
Bornasco,45.2675,9.219074,PV
Bosnasco,45.0654814,9.3598518,PV
Brallo di Pregola,44.7382271,9.2810462,PV
Breme,45.1271119,8.624924,PV
Bressana Bottarone,45.0788941,9.1330208,PV
Broni,45.0664074,9.2634629,PV
Calvignano,44.983294,9.1662881,PV
Campospinoso,45.0964074,9.2456481,PV
Candia Lomellina,45.1798695,8.5959354,PV
Canevino,44.9375613,9.2776569,PV
Canneto Pavese,45.0514074,9.2798518,PV
Carbonara al Ticino,45.1667407,9.0626666,PV
Casanova Lonati,45.0954814,9.214537,PV
Casatisma,45.05,9.1331481,PV
Casei Gerola,45.0086111,8.9278148,PV
Casorate Primo,45.3134629,9.0179814,PV
Cassolnovo,45.3624137,8.8094041,PV
Castana,45.0272352,9.2719102,PV
Casteggio,45.0111111,9.1234444,PV
Castelletto di Branduzzo,45.0703768,9.0988964,PV
Castello d'Agogna,45.2328011,8.6897371,PV
Castelnovetto,45.2548372,8.6130625,PV
Cava Manara,45.140378,9.108577,PV
Cecima,44.8517407,9.0814074,PV
Ceranova,45.2612592,9.2442222,PV
Ceretto Lomellina,45.2463919,8.6726586,PV
Cergnago,45.199492,8.7732354,PV
Certosa di Pavia,45.252477,9.131115,PV
Cervesina,45.0623703,9.0173703,PV
Chignolo Po,45.1492407,9.4826666,PV
Cigognola,45.0337592,9.2459444,PV
Cilavegna,45.3108498,8.7469456,PV
Codevilla,44.964537,9.0573703,PV
Confienza,45.3332328,8.5571768,PV
Copiano,45.1973703,9.3236111,PV
Corana,45.0626666,8.9695555,PV
Cornale,45.042581,8.911158,PV
Corteolona,45.1589259,9.3704814,PV
Corvino San Quirico,45.0128354,9.1610039,PV
Costa de' Nobili,45.132418,9.3796526,PV
Cozzo,45.1932218,8.6123405,PV
Cura Carpignano,45.2134444,9.2567222,PV
Dorno,45.1570781,8.9540102,PV
Ferrera Erbognone,45.113949,8.864587,PV
Filighera,45.1777204,9.3167707,PV
Fortunago,44.9216102,9.185471,PV
Frascarolo,45.0476666,8.6831296,PV
Galliavola,45.0980389,8.8187423,PV
Gambarana,45.0293888,8.7645555,PV
Gambolò,45.2649123,8.858692,PV
Garlasco,45.1984629,8.9248518,PV
Genzone,45.1817407,9.3486111,PV
Gerenzago,45.2067384,9.3598793,PV
Giussago,45.2857962,9.1418888,PV
Godiasco,44.896902,9.056877,PV
Golferenzo,44.962037,9.307037,PV
Gravellona Lomellina,45.3287777,8.7653333,PV
Gropello Cairoli,45.179537,8.9939259,PV
Inverno e Monteleone,45.1987947,9.3853334,PV
Landriano,45.3129814,9.2612777,PV
Langosco,45.2158648,8.5619115,PV
Lardirago,45.2361111,9.2331296,PV
Linarolo,45.1634629,9.2711111,PV
Lirio,44.9949299,9.2562084,PV
Lomello,45.122037,8.7973518,PV
Lungavilla,45.043966,9.081497,PV
Magherno,45.224537,9.3304814,PV
Marcignago,45.253828,9.078241,PV
Marzano,45.2488576,9.2961844,PV
Mede,45.0989259,8.737037,PV
Menconico,44.7967464,9.2785597,PV
Mezzana Bigli,45.0609629,8.849537,PV
Mezzana Rabattone,45.0959629,9.0323518,PV
Mezzanino,45.1248771,9.208325,PV
Miradolo Terme,45.1720361,9.4467032,PV
Montalto Pavese,44.9787327,9.2117771,PV
Montebello della Battaglia,45.0020555,9.104537,PV
Montecalvo Versiggia,44.9724866,9.2847883,PV
Montescano,45.0322239,9.284724,PV
Montesegale,44.9068529,9.1270402,PV
Monticelli Pavese,45.1120925,9.5148744,PV
Montù Beccaria,45.0377416,9.3152751,PV
Mornico Losana,45.0101903,9.2067482,PV
Mortara,45.2516185,8.7377451,PV
Nicorvo,45.2853559,8.6677915,PV
Olevano di Lomellina,45.2148551,8.7178408,PV
Oliva Gessi,45.0035702,9.1791456,PV
Ottobiano,45.1548518,8.8309444,PV
Palestro,45.3020893,8.5325468,PV
Pancarana,45.0756481,9.0517222,PV
Parona,45.2827698,8.7517168,PV
Pavia,45.1858767,9.1566316,PV
Pietra de' Giorgi,45.0226473,9.2308166,PV
Pieve Albignola,45.1139259,8.9625,PV
Pieve del Cairo,45.0509444,8.8053333,PV
Pieve Porto Morone,45.1103148,9.4368888,PV
Pinarolo Po,45.0709629,9.1684629,PV
Pizzale,45.0365271,9.048259,PV
Ponte Nizza,44.8531866,9.0976423,PV
Portalbera,45.0986111,9.3200185,PV
Rea,45.1143888,9.1557962,PV
Redavalle,45.0389074,9.2034629,PV
Retorbido,44.9504814,9.0373703,PV
Rivanazzano,44.9267222,9.0142407,PV
Robbio,45.2915831,8.5923041,PV
Robecco Pavese,45.0493332,9.1520137,PV
Rocca de' Giorgi,44.9706046,9.2538639,PV
Rocca Susella,44.9125781,9.0962047,PV
Rognano,45.2888936,9.0903723,PV
Romagnese,44.8405192,9.331236,PV
Roncaro,45.2292407,9.276574,PV
Rosasco,45.2518904,8.580095,PV
Rovescala,45.0079814,9.3470555,PV
Ruino,44.9272966,9.2743333,PV
San Cipriano Po,45.1100185,9.284074,PV
San Damiano al Colle,45.0259629,9.3476666,PV
San Genesio ed Uniti,45.2355686,9.1791567,PV
San Giorgio di Lomellina,45.1759629,8.7912592,PV
San Martino Siccomario,45.1620555,9.137037,PV
