denominazione,latitudine,longitudine,provincia
Oltre il Colle,45.8904814,9.7703148,BG
Oltressenda Alta,45.9162777,9.9459444,BG
Oneta,45.8725185,9.8204814,BG
Onore,45.8906164,10.0099566,BG
Orio al Serio,45.6743652,9.6898847,BG
Ornica,45.9883421,9.5791076,BG
Osio Sopra,45.63,9.5857962,BG
Osio Sotto,45.616052,9.5902872,BG
Pagazzano,45.5353333,9.6723703,BG
Paladina,45.73175,9.6070779,BG
Palazzago,45.7530235,9.5334443,BG
Palosco,45.587682,9.836002,BG
Parre,45.8724039,9.8880749,BG
Parzanica,45.7381634,10.0364361,BG
Pedrengo,45.6970555,9.7361111,BG
Peia,45.801923,9.89977,BG
Pianico,45.8109629,10.0442407,BG
Piario,45.896033,9.9243919,BG
Piazza Brembana,45.9476666,9.6751666,BG
Piazzatorre,45.9934487,9.6939899,BG
Piazzolo,45.9791775,9.6707356,BG
Pognano,45.5873518,9.6411111,BG
Ponte Nossa,45.8668468,9.883967,BG
Ponte San Pietro,45.6973703,9.5859444,BG
Ponteranica,45.7334444,9.6528148,BG
Pontida,45.7332472,9.4983434,BG
Pontirolo Nuovo,45.5701666,9.5704814,BG
Pradalunga,45.7468888,9.7834629,BG
Predore,45.6817222,10.0154814,BG
Premolo,45.8712777,9.8757962,BG
Presezzo,45.6931481,9.5714074,BG
Pumenengo,45.4803379,9.8705949,BG
Ranica,45.7242222,9.7145555,BG
Ranzanico,45.7893888,9.9362777,BG
Riva di Solto,45.7779814,10.0447037,BG
Rogno,45.8575,10.1332962,BG
Romano di Lombardia,45.5215349,9.7536133,BG
Roncobello,45.95637,9.7487739,BG
Roncola,45.7697037,9.5617222,BG
Rota d'Imagna,45.831722,9.5124529,BG
Rovetta,45.8939074,9.984537,BG
San Giovanni Bianco,45.8748518,9.654537,BG
San Paolo d'Argon,45.6893888,9.8034629,BG
San Pellegrino Terme,45.8394554,9.6652519,BG
Santa Brigida,45.9859629,9.6223703,BG
Sant'Omobono Terme,45.809413,9.536558,BG
Sarnico,45.6676684,9.958184,BG
Scanzorosciate,45.7117222,9.7362777,BG
Schilpario,46.0087981,10.1587556,BG
Sedrina,45.7828333,9.6251666,BG
Selvino,45.782124,9.7534379,BG
Seriate,45.6855235,9.7219666,BG
Serina,45.8725,9.7323518,BG
Solto Collina,45.7845555,10.0287592,BG
Solza,45.6790929,9.4904675,BG
Songavazzo,45.880458,9.988462,BG
Sorisole,45.7451923,9.6625477,BG
Sotto il Monte Giovanni XXIII,45.7067407,9.504537,BG
Sovere,45.8153333,10.029537,BG
Spinone al Lago,45.7683289,9.9257073,BG
Spirano,45.5831481,9.6700185,BG
Stezzano,45.651741,9.652113,BG
Strozza,45.774074,9.5786111,BG
Suisio,45.6585285,9.5012192,BG
Taleggio,45.8943888,9.5659444,BG
Tavernola Bergamasca,45.7103148,10.0473518,BG
Telgate,45.6298518,9.8528333,BG
Terno d'Isola,45.6864074,9.532037,BG
Torre Boldone,45.7151666,9.7112592,BG
Torre de' Roveri,45.7002132,9.7725938,BG
Torre Pallavicina,45.4473518,9.8781296,BG
Trescore Balneario,45.694913,9.846543,BG
Treviglio,45.5214345,9.5896785,BG
Treviolo,45.6747037,9.6131481,BG
Ubiale Clanezzo,45.7833368,9.6183085,BG
Urgnano,45.601574,9.6948518,BG
Valbondione,46.037883,10.013161,BG
Valbrembo,45.719537,9.6101666,BG
Valgoglio,45.9741169,9.9121319,BG
Valleve,46.0271078,9.7432538,BG
Valnegra,45.95,9.6904814,BG
Valsecca,45.8282962,9.4964074,BG
Valtorta,45.9775624,9.5326645,BG
Vedeseta,45.8911662,9.5398583,BG
Verdellino,45.602037,9.6092407,BG
Verdello,45.6057962,9.63,BG
Vertova,45.8114259,9.8543888,BG
Viadanica,45.6856296,9.9625,BG
Vigano San Martino,45.727037,9.8973703,BG
Vigolo,45.7178227,10.0355772,BG
Villa d'Adda,45.7150185,9.4628333,BG
Villa d'Almè,45.7508592,9.6158547,BG
Villa di Serio,45.7251666,9.7373703,BG
Villa d'Ogna,45.9056296,9.9320555,BG
Villongo,45.6689259,9.9309629,BG
Vilminore di Scalve,45.9987571,10.0951451,BG
Zandobbio,45.6883768,9.8524832,BG
Zanica,45.6403849,9.6846108,BG
Zogno,45.7928148,9.6573703,BG
Acquafredda,45.306205,10.415578,BS
Adro,45.621823,9.957437,BS
Agnosine,45.6507724,10.3521126,BS
Alfianello,45.2679814,10.1492222,BS
Anfo,45.7673518,10.4948518,BS
Angolo Terme,45.8921682,10.1444826,BS
Artogne,45.8496063,10.1652335,BS
Azzano Mella,45.4556481,10.1182962,BS
Bagnolo Mella,45.4297186,10.1861544,BS
Bagolino,45.8262777,10.4606481,BS
Barbariga,45.4061111,10.0554814,BS
Barghe,45.6794387,10.4096317,BS
Bassano Bresciano,45.327288,10.125638,BS
Bedizzole,45.5117305,10.4246053,BS
Berlingo,45.502611,10.044326,BS
Berzo Demo,46.092941,10.3317481,BS
Berzo Inferiore,45.9320555,10.2807962,BS
Bienno,45.9367222,10.2945555,BS
Bione,45.6734207,10.3402991,BS
Borgo San Giacomo,45.3479814,9.969537,BS
Borgosatollo,45.4817222,10.2422037,BS
Borno,45.9461485,10.1998243,BS
Botticino,45.5370555,10.3029814,BS
Bovegno,45.7937715,10.2736284,BS
Bovezzo,45.5925185,10.2423518,BS
Brandico,45.4551666,10.0537592,BS
Braone,45.989179,10.342559,BS
Breno,45.9554634,10.3018645,BS
Brescia,45.5397733,10.222939,BS
Brione,45.6432033,10.1495294,BS
Caino,45.6103447,10.3142316,BS
Calcinato,45.4581296,10.4147037,BS
Calvagese della Riviera,45.5416073,10.4462049,BS
Calvisano,45.3492407,10.3461111,BS
Capo di Ponte,46.0302983,10.3424532,BS
Capovalle,45.7539899,10.5442773,BS
Capriano del Colle,45.454272,10.128892,BS
Capriolo,45.6389288,9.9339367,BS
Carpenedolo,45.3630471,10.4299525,BS
Castegnato,45.5612777,10.115,BS
Castel Mella,45.4962271,10.141694,BS
Castelcovati,45.5026124,9.9468783,BS
Castenedolo,45.4704814,10.2967222,BS
